******************************
**** Vocabulaire DUOLINGO ****
******************************

**********************
*** Les sentiments ***
**********************

Je suis désolé		Lo siento
Enchanté			Mucho gusto
Excusez moi			Disculperme

*******************
*** Les animaux ***
*******************

Le chien 			El perro
Le chat 			El gato
La patte 			La pata
Le cheval 			El caballo
Le canard			El pato
Le cochon			El cerdo
Le crabe			El cangrejo
Le singe 			El mono
La souris 			El raton
Le lapin 			El conejo
Le manchot			El pinguino
L'ours				El oso

*********************
*** Les vêtements ***
*********************

Le pantalon			El pantalon
Une chemise 		Una camisa
Des chaussures		Los zapatos 
Des chaussettes		Los calcetines
Un teeshirt			Una camiseta
Un chapeau			Un sombrero
Une veste			Una chaqueta
Une cravate			Una corbata
Un costume			Un traje
Une jupe			Una falda
La robe 			El vestido
Les vêtements 		La ropa
Le Manteau			El abrigo
Une ceinture		Un cinturon

************************
*** Faire des achats ***
************************

Faire des courses	Ir de compras
Acheter				Comprar

********************
*** Les couleurs ***
********************

Blanc				Blanco/blanca
Noir				Negro/Negra
Bleu				Azul
Jaune				Amarillo
Orange				Naranja
Vert				Verde
Rouge				Rojo

******************
*** Les verbes ***
******************

Entendre/percevoir	oir
Entendre/écouter	escuchar
Marcher				caminar
Boire				beber/tomar
Finir				acabar
Peser				pesar
Porter				llevar
Continuer			siguar
Trouver				encuentrar
Toucher				tocar
Accuser				culpar
Descendre			bajar
Gouter				pruebar
Chercher			buscar
Se rappeler			recuerdar
Signer				firmar

******************
*** La famille ***
******************

Le père						El padre
La mère						La madre
La femme 					La mujer
Épouse 						La esposa
Frère/soeur 				El hermano / la hermana
Oncle / tante 				tio / tia
Fils/fille 					hijo / hija
Grand-père / grand mère		abuelo / abuela
Petit ami / petite amie 	novio / novia
Mari 						El marido
Cousin / cousine 			primo / prima
Les grands frères			Los hermanos mayores
Mes petites soeurs			Mis hermanas menores

*******************************
*** Adverbes / prépositions ***
*******************************

Parmi/entre												Entre
Sur 													Sobre
Vers													Hacia
Nous allons de l'avant									Vamos hacia adelante 
A propos de 											Acerca / es acerca de
Le livre est à propos d'un cheval						El libro es acerca de un caballo
Sous													Bajo
C'est bas												Es bajo
Près de 												Cerca / esta cerca
La frontière est prêt d'ici								La frontera esta cerca de aqui
Selon													Segun
Sans													Sin
Ce n’est pas du vin mais de l’eau						No es vino sino agua 
Je parle au téléphone avec maman						Hablo por el telefono con mi mama
Mon père n'est pas grand mais c'est un grand homme		Mi padre no es alto pero es un gran hombre
A propos 												A proposito
J'aime ma maman											Quiero a mi mama
Je parle au téléphone									Hablo por telefono
Je regarde par la fenêtre								Miro por la ventana
Pour la soupe 											Para la sopa (por/para)
Une fois par jour										Una vez al dia
Je connais votre papa									Conozco a su padre
Je compte sur vous										Cuento con usted 
Lui, il vient tous les jours							El viene todos los dias
Certaines jupes sont bleues								Algunas faldas son azules
Elle, elle n'a aucun frère								Ella no tiene ningun hermano
Aucune													ninguna
Moi aussi												Yo tambien
Je ne bois jamais de bière								Jamas bebo cerveza
Moi non plus											Yo tampoco
Il y a quelques années									Hace unos cuantos anos
Il y a environ un an									Hace alrededor de un ano 
Il y a environ un mois									Hace alrededor de un mes 
A n'importe quelle heure								Al calquier hora
C'est ainsi												Es asi
Qu'avez vous d'autre ?									Que mas tiene ?
Nous sommes déjà en juin								Ya estamos en junio 
Et après												Y despuès 
Tu es encore jeune										Todovia eres joven 
Presque													Casi 
Et alors												Y entonces 
Je lis autant que toi									Leo tanto como tu 
C'est trop												Es demasiado
Peut-être un jour										Quiza un dia 
Bien sur 												por supuesto
Bien sur que non 										Por supuesto que no 
Lui, il est encore au lit								El aun esta en cama 
Lui, il lit autant que moi								el lee tanto como yo 
Moi non plus											Yo tampoco 
Il n'est pas encore ici 								Aun no esta aqui 
Nous sommes déjà en juin 								Ya estamos en junio 
Elle, elle vient ensuite								Ella viene luego 
Parce que												Porque 
Pourquoi ? parce que ! 									Por qué ? porque si ! 
Quand 													Cuando 
Pendant que / Alors que									Mientras 			 										 

